Date Reported,Date Occurred,Month,Day,Year,Time Occurred,Hour,Area ID,Area Name,Location ,Latitude,Longitude,Description,Classified Crime Type
2/18/2014,3/1/2012,3,1,2012,2130,21,8,West LA,"(34.0704, -118.455)",33.9746,-118.455,SEXUAL ASSAULT,Sexual Assault
3/31/2014,8/1/2012,8,1,2012,200,2,8,West LA,"(34.052, -118.383)",33.9745,-118.383,SEXUAL ASSAULT,Sexual Assault
5/22/2014,5/22/2012,5,22,2012,1,0,8,West LA,"(34.0478, -118.4648)",34.0037,-118.4648,SEXUAL ASSAULT,Sexual Assault
6/24/2014,10/1/2012,10,1,2012,1800,18,8,West LA,"(34.0864, -118.4516)",33.9628,-118.4516,SEXUAL ASSAULT,Sexual Assault
3/6/2013,6/1/2012,6,1,2012,1300,13,9,Van Nuys,"(34.1907, -118.4509)",33.999,-118.4509,SEXUAL ASSAULT,Sexual Assault
2/13/2014,1/1/2012,1,1,2012,1200,12,9,Van Nuys,"(34.2012, -118.4662)",33.9625,-118.4662,SEXUAL ASSAULT,Sexual Assault
12/14/2015,12/14/2012,12,14,2012,1200,12,9,Van Nuys,"(34.1794, -118.4334)",33.9807,-118.4334,SEXUAL ASSAULT,Sexual Assault
1/3/2013,12/31/2012,12,31,2012,2030,20,10,West Valley,"(34.1939, -118.5535)",34.0151,-118.5535,SEXUAL ASSAULT,Sexual Assault
3/31/2013,11/1/2012,11,1,2012,800,8,10,West Valley,"(34.2176, -118.5343)",34.0121,-118.5343,SEXUAL ASSAULT,Sexual Assault
9/4/2013,1/6/2012,1,6,2012,200,2,10,West Valley,"(34.1775, -118.536)",34.0268,-118.536,SEXUAL ASSAULT,Sexual Assault
6/11/2014,6/11/2012,6,11,2012,1200,12,10,West Valley,"(34.1672, -118.5411)",33.9824,-118.5411,SEXUAL ASSAULT,Sexual Assault
8/21/2014,5/1/2012,5,1,2012,1200,12,10,West Valley,"(34.2066, -118.5514)",33.9912,-118.5514,SEXUAL ASSAULT,Sexual Assault
10/29/2014,1/1/2012,1,1,2012,1800,18,10,West Valley,"(34.1903, -118.4836)",34.0092,-118.4836,SEXUAL ASSAULT,Sexual Assault
1/24/2013,9/1/2012,9,1,2012,300,3,11,Northeast,"(34.0981, -118.2054)",33.9599,-118.2054,SEXUAL ASSAULT,Sexual Assault
5/21/2013,10/1/2012,10,1,2012,300,3,11,Northeast,"(34.104, -118.1913)",33.9587,-118.1913,SEXUAL ASSAULT,Sexual Assault
8/27/2013,10/1/2012,10,1,2012,800,8,11,Northeast,"(34.1232, -118.216)",33.9818,-118.216,SEXUAL ASSAULT,Sexual Assault
3/31/2014,8/16/2012,8,16,2012,500,5,11,Northeast,"(34.0821, -118.257)",33.9598,-118.257,SEXUAL ASSAULT,Sexual Assault
2/16/2015,1/1/2012,1,1,2012,1200,12,11,Northeast,"(34.1054, -118.1923)",34.0129,-118.1923,SEXUAL ASSAULT,Sexual Assault
1/23/2013,11/10/2012,11,10,2012,2200,22,12,77th Street,"(33.9837, -118.3323)",33.9874,-118.3323,SEXUAL ASSAULT,Sexual Assault
2/28/2013,11/27/2012,11,27,2012,100,1,12,77th Street,"(33.9846, -118.3279)",33.9598,-118.3279,SEXUAL ASSAULT,Sexual Assault
3/19/2013,7/15/2012,7,15,2012,200,2,12,77th Street,"(33.9941, -118.3214)",34.1392,-118.3214,SEXUAL ASSAULT,Sexual Assault
4/23/2013,12/1/2012,12,1,2012,1900,19,12,77th Street,"(34.0028, -118.2827)",34.17,-118.2827,SEXUAL ASSAULT,Sexual Assault
10/10/2013,1/1/2012,1,1,2012,800,8,12,77th Street,"(33.9632, -118.2842)",34.1367,-118.2842,SEXUAL ASSAULT,Sexual Assault
1/13/2014,10/13/2012,10,13,2012,1800,18,12,77th Street,"(33.9609, -118.309)",34.1427,-118.309,SEXUAL ASSAULT,Sexual Assault
